Index	Timecode	Active Area Aspect Ratio	Anamorphic Lens Squeeze Ratio	Aperture Ring T Stop Position	Aperture Value	Aspect Ratio	Audio Bit Depth	Audio Codec	Audio Sampling Rate	Auto Exposure Mode	Auto Focus Sensing Area Setting	Auto White Balance Mode	Camera	Camera Attributes	Camera Knee Point	Camera Knee Slope	Camera Master Black Level	Camera Master Gain Adjustment	Camera Roll Angle	Camera Tilt Angle	Capture FPS	Capture Gamma Equation	Color For Look	Color Primaries	Cooke Distortion Mapping	Cooke Inertial Data	Cooke Protocol User Metadata	Creation Date	Current Focal Length	Drop Frame	Duration	Effective Marker Aspect Ratio	Electrical Extender Magnification	Embedded 3DLUT	End	Entrance Pupil Position	Exposure Index	Far Focus Distance	Focus Distance	Focus Position From Image Plane	Focus Ring Position	Format FPS	Gamma For Look	Gamma for CDL	Horizontal Field of View	Hyperfocal Distance	ISO Sensitivity	Image Orientation	Image Sensor Dimension Effective Height	Image Sensor Dimension Effective Width	Image Sensor Readout Mode	Iris F-Number	Iris Ring Position	Iris T-Number	LED Wall Color Temperature	LED Wall Moire Alert Level	Lens Attributes	Lens Serial Number	Lens Zoom 35mm Still Camera Equivalent	Lens Zoom Actual Focal Length	Light Blend Ratio with LED Wall	Look Process Baked	Macro Setting	Monitoring Base Curve	Monitoring Characteristics	Monitoring Coding Equations	Monitoring Color Primaries	Monitoring Descriptions	ND Filter Wheel	Near Focus Distance	Normalised Zoom Value	Number of Audio Channels	Optical Extender Magnification	Pixel Aspect Ratio	Post-CDL Transform	Pre-CDL Transform	Raw Black Code	Raw Gray Code	Raw White Code	Resolution	Rotary Shutter Mode	Shutter Speed Angle	Shutter Speed Time	Start	Sub Sampling	Tint Correction	UMID	User Frame Line1	User Frame Line2	Video Bit Depth	Video Codec	Video Signal	White Balance	ZEISS eXtended Data	Zoom Ring Position	
232	13:07:12:07	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.20000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56169	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
233	13:07:12:08	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.20000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56169	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
234	13:07:12:09	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.20000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56169	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
235	13:07:12:10	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.20000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56169	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
236	13:07:12:11	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.20000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56169	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
237	13:07:12:12	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.20000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56169	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
238	13:07:12:13	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.10000	-17.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56169	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
239	13:07:12:14	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.10000	-17.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56169	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
240	13:07:12:15	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.20000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
241	13:07:12:16	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.20000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
242	13:07:12:17	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.20000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
243	13:07:12:18	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.20000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
244	13:07:12:19	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.20000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
245	13:07:12:20	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.10000	-17.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
246	13:07:12:21	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.10000	-17.20000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
247	13:07:12:22	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.10000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
248	13:07:12:23	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.10000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56164	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
249	13:07:13:00	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.10000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56164	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
250	13:07:13:01	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.10000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
251	13:07:13:02	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.10000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
252	13:07:13:03	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.20000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
253	13:07:13:04	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.20000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
254	13:07:13:05	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.10000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
255	13:07:13:06	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.10000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
256	13:07:13:07	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.10000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
257	13:07:13:08	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.10000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
258	13:07:13:09	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.10000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
259	13:07:13:10	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.10000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
260	13:07:13:11	8640:5760				3:2	24	LPCM	48000	ManualExposureMode	ManualFocusMode	PresetWhiteBalanceSetup	VENICE 2/CineAltaV 2	MPC-3628 0003085 Version4.00				0.00dB	-77.10000	-17.10000	24p	scene-linear	s-gamut3-cine					2025-07-25 13:16:23		NDF	00:00:11:04	8640:5760	100%	SL3SG3Ctos709.cube	13:07:13:19		800			6.71m	56165	24p	s-log3-cine	rec709			800	normal	23962um	35942um	ProgressiveFrame	2.13	1945				 T2.5_200 CMot		50mm	50mm		false		rec709	rec709	rec709	rec709	EMB1:SL3SG3Ctos709.cube	Clear			4	100%	1:1	none	EMB1:SL3SG3Ctos709.cube	512	1504	5472	8640x5760		360.00deg	1/24sec	13:07:02:16		0.00000	060A2B340101010501010D4313000000DAF3942D810806C4143FA6FFFE39340C	7824x5472+0+0	4320x2880+0+0		X-OCN XT		5500		0	
